Company Name,Service,Style,Address,Phone,Postcode
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,10019
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,10019
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,10036
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,10036
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,10036
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,10036
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,10036
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,10036
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,10019
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,10018
